
🚀 tier5: 140 files × 5 backends = 700 calls
📋 Checkpoint: 127 results already in tier5_live_full.jsonl
    ⏳ 429, retry in 21s
  ❌ [nemotron-3-super:cloud] tier5 RSA-2048_0262_pycryptodome.bin: GT=RSA-2048 PRED=UNKNOWN (0.4s) ERR:HTTP 429: Too Many Requests | {"error":"you (khangalal88) ha
  ✅ [openrouter/owl-alpha] tier5 3DES_0251_openssl.bin: GT=3DES PRED=3DES (234.5s)
  ❌ [openrouter/owl-alpha] tier5 3DES_0776_openssl.bin: GT=3DES PRED=ChaCha20 (50.6s)
  ✅ [openrouter/owl-alpha] tier5 3DES_0102_openssl.bin: GT=3DES PRED=3DES (224.6s)
  ❌ [openrouter/owl-alpha] tier5 3DES_0333_openssl.bin: GT=3DES PRED=ChaCha20 (33.7s)
  ✅ [openrouter/owl-alpha] tier5 3DES_0116_openssl.bin: GT=3DES PRED=3DES (50.6s)
  ✅ [openrouter/owl-alpha] tier5 3DES_0418_openssl.bin: GT=3DES PRED=3DES (73.1s)
  ❌ [openrouter/owl-alpha] tier5 3DES_0388_openssl.bin: GT=3DES PRED=ChaCha20 (61.5s)
  ✅ [openrouter/owl-alpha] tier5 3DES_0822_openssl.bin: GT=3DES PRED=3DES (175.0s)
  ✅ [openrouter/owl-alpha] tier5 3DES_0370_openssl.bin: GT=3DES PRED=3DES (33.4s)
  ❌ [openrouter/owl-alpha] tier5 3DES_0678_openssl.bin: GT=3DES PRED=ChaCha20 (35.7s)
  ❌ [openrouter/owl-alpha] tier5 3DES_0742_pycryptodome.bin: GT=3DES PRED=AES-128 (61.2s)
  ✅ [openrouter/owl-alpha] tier5 3DES_0548_pycryptodome.bin: GT=3DES PRED=3DES (125.5s)
  ✅ [openrouter/owl-alpha] tier5 3DES_0709_pycryptodome.bin: GT=3DES PRED=3DES (56.6s)
  ✅ [openrouter/owl-alpha] tier5 3DES_0547_pycryptodome.bin: GT=3DES PRED=3DES (53.7s)
  ✅ [openrouter/owl-alpha] tier5 3DES_0421_pycryptodome.bin: GT=3DES PRED=3DES (66.4s)
  ✅ [openrouter/owl-alpha] tier5 3DES_0880_pycryptodome.bin: GT=3DES PRED=3DES (118.3s)
  ❌ [openrouter/owl-alpha] tier5 3DES_0493_pycryptodome.bin: GT=3DES PRED=ChaCha20 (33.9s)
  ✅ [openrouter/owl-alpha] tier5 3DES_0896_pycryptodome.bin: GT=3DES PRED=3DES (52.8s)
  ✅ [openrouter/owl-alpha] tier5 3DES_0447_pycryptodome.bin: GT=3DES PRED=3DES (91.9s)
  ❌ [openrouter/owl-alpha] tier5 3DES_0927_pycryptodome.bin: GT=3DES PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 AES-128_0558_openssl.bin: GT=AES-128 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 AES-128_0851_openssl.bin: GT=AES-128 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 AES-128_0653_openssl.bin: GT=AES-128 PRED=UNKNOWN (5.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 AES-128_0121_openssl.bin: GT=AES-128 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 AES-128_0987_openssl.bin: GT=AES-128 PRED=UNKNOWN (0.1s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 AES-128_0385_openssl.bin: GT=AES-128 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 AES-128_0057_openssl.bin: GT=AES-128 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 AES-128_0210_openssl.bin: GT=AES-128 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 AES-128_0920_openssl.bin: GT=AES-128 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 AES-128_0484_openssl.bin: GT=AES-128 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 AES-128_0172_pycryptodome.bin: GT=AES-128 PRED=UNKNOWN (5.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 AES-128_0333_pycryptodome.bin: GT=AES-128 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 AES-128_0201_pycryptodome.bin: GT=AES-128 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 AES-128_0518_pycryptodome.bin: GT=AES-128 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 AES-128_0519_pycryptodome.bin: GT=AES-128 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 AES-128_0391_pycryptodome.bin: GT=AES-128 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 AES-128_0890_pycryptodome.bin: GT=AES-128 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 AES-128_0924_pycryptodome.bin: GT=AES-128 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 AES-128_0058_pycryptodome.bin: GT=AES-128 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 AES-128_0017_pycryptodome.bin: GT=AES-128 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 AES-256_0208_openssl.bin: GT=AES-256 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 AES-256_0741_openssl.bin: GT=AES-256 PRED=UNKNOWN (5.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 AES-256_0549_openssl.bin: GT=AES-256 PRED=UNKNOWN (0.1s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 AES-256_0902_openssl.bin: GT=AES-256 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 AES-256_0748_openssl.bin: GT=AES-256 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 AES-256_0222_openssl.bin: GT=AES-256 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 AES-256_0179_openssl.bin: GT=AES-256 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 AES-256_0005_openssl.bin: GT=AES-256 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 AES-256_0485_openssl.bin: GT=AES-256 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 AES-256_0201_openssl.bin: GT=AES-256 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 AES-256_0481_pycryptodome.bin: GT=AES-256 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 AES-256_0746_pycryptodome.bin: GT=AES-256 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 AES-256_0588_pycryptodome.bin: GT=AES-256 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 AES-256_0742_pycryptodome.bin: GT=AES-256 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 AES-256_0076_pycryptodome.bin: GT=AES-256 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 AES-256_0865_pycryptodome.bin: GT=AES-256 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 AES-256_0946_pycryptodome.bin: GT=AES-256 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 AES-256_0374_pycryptodome.bin: GT=AES-256 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 AES-256_0385_pycryptodome.bin: GT=AES-256 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 AES-256_0136_pycryptodome.bin: GT=AES-256 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 ChaCha20_0240_openssl.bin: GT=ChaCha20 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 ChaCha20_0416_openssl.bin: GT=ChaCha20 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 ChaCha20_0461_openssl.bin: GT=ChaCha20 PRED=UNKNOWN (5.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 ChaCha20_0980_openssl.bin: GT=ChaCha20 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 ChaCha20_0297_openssl.bin: GT=ChaCha20 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 ChaCha20_0851_openssl.bin: GT=ChaCha20 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 ChaCha20_0354_openssl.bin: GT=ChaCha20 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 ChaCha20_0995_openssl.bin: GT=ChaCha20 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 ChaCha20_0607_openssl.bin: GT=ChaCha20 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 ChaCha20_0823_openssl.bin: GT=ChaCha20 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 ChaCha20_0533_pycryptodome.bin: GT=ChaCha20 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 ChaCha20_0474_pycryptodome.bin: GT=ChaCha20 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 ChaCha20_0610_pycryptodome.bin: GT=ChaCha20 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 ChaCha20_0736_pycryptodome.bin: GT=ChaCha20 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 ChaCha20_0103_pycryptodome.bin: GT=ChaCha20 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 ChaCha20_0977_pycryptodome.bin: GT=ChaCha20 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 ChaCha20_0244_pycryptodome.bin: GT=ChaCha20 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 ChaCha20_0710_pycryptodome.bin: GT=ChaCha20 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 ChaCha20_0409_pycryptodome.bin: GT=ChaCha20 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 ChaCha20_0928_pycryptodome.bin: GT=ChaCha20 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 DES_0678_openssl.bin: GT=DES PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 DES_0801_openssl.bin: GT=DES PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 DES_0948_openssl.bin: GT=DES PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 DES_0663_openssl.bin: GT=DES PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 DES_0580_openssl.bin: GT=DES PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 DES_0320_openssl.bin: GT=DES PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 DES_0240_openssl.bin: GT=DES PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 DES_0805_openssl.bin: GT=DES PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 DES_0817_openssl.bin: GT=DES PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 DES_0055_openssl.bin: GT=DES PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 DES_0545_pycryptodome.bin: GT=DES PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 DES_0325_pycryptodome.bin: GT=DES PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 DES_0750_pycryptodome.bin: GT=DES PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 DES_0734_pycryptodome.bin: GT=DES PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 DES_0667_pycryptodome.bin: GT=DES PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 DES_0277_pycryptodome.bin: GT=DES PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 DES_0245_pycryptodome.bin: GT=DES PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 DES_0218_pycryptodome.bin: GT=DES PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 DES_0413_pycryptodome.bin: GT=DES PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 DES_0174_pycryptodome.bin: GT=DES PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 ML-KEM-768_0941_openssl.bin: GT=ML-KEM-768 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 ML-KEM-768_0783_openssl.bin: GT=ML-KEM-768 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 ML-KEM-768_0128_openssl.bin: GT=ML-KEM-768 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 ML-KEM-768_0849_openssl.bin: GT=ML-KEM-768 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 ML-KEM-768_0532_openssl.bin: GT=ML-KEM-768 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 ML-KEM-768_0080_openssl.bin: GT=ML-KEM-768 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 ML-KEM-768_0686_openssl.bin: GT=ML-KEM-768 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 ML-KEM-768_0490_openssl.bin: GT=ML-KEM-768 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 ML-KEM-768_0360_openssl.bin: GT=ML-KEM-768 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 ML-KEM-768_0483_openssl.bin: GT=ML-KEM-768 PRED=UNKNOWN (0.1s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 ML-KEM-768_0409_openssl.bin: GT=ML-KEM-768 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 ML-KEM-768_0381_openssl.bin: GT=ML-KEM-768 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 ML-KEM-768_0126_openssl.bin: GT=ML-KEM-768 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 ML-KEM-768_0254_openssl.bin: GT=ML-KEM-768 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 ML-KEM-768_0743_openssl.bin: GT=ML-KEM-768 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 ML-KEM-768_0590_openssl.bin: GT=ML-KEM-768 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 ML-KEM-768_0147_openssl.bin: GT=ML-KEM-768 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 ML-KEM-768_0494_openssl.bin: GT=ML-KEM-768 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 ML-KEM-768_0523_openssl.bin: GT=ML-KEM-768 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 ML-KEM-768_0237_openssl.bin: GT=ML-KEM-768 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 RSA-2048_0310_openssl.bin: GT=RSA-2048 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 RSA-2048_0490_openssl.bin: GT=RSA-2048 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 RSA-2048_0062_openssl.bin: GT=RSA-2048 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 RSA-2048_0162_openssl.bin: GT=RSA-2048 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 RSA-2048_0425_openssl.bin: GT=RSA-2048 PRED=UNKNOWN (0.1s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 RSA-2048_0222_openssl.bin: GT=RSA-2048 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 RSA-2048_0240_openssl.bin: GT=RSA-2048 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 RSA-2048_0058_openssl.bin: GT=RSA-2048 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 RSA-2048_0156_openssl.bin: GT=RSA-2048 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 RSA-2048_0835_openssl.bin: GT=RSA-2048 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 RSA-2048_0422_pycryptodome.bin: GT=RSA-2048 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 RSA-2048_0207_pycryptodome.bin: GT=RSA-2048 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 RSA-2048_0178_pycryptodome.bin: GT=RSA-2048 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 RSA-2048_0694_pycryptodome.bin: GT=RSA-2048 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 RSA-2048_0961_pycryptodome.bin: GT=RSA-2048 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 RSA-2048_0052_pycryptodome.bin: GT=RSA-2048 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 RSA-2048_0934_pycryptodome.bin: GT=RSA-2048 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 RSA-2048_0353_pycryptodome.bin: GT=RSA-2048 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 RSA-2048_0901_pycryptodome.bin: GT=RSA-2048 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [openrouter/owl-alpha] tier5 RSA-2048_0262_pycryptodome.bin: GT=RSA-2048 PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [google/gemma-4-31b-it:free] tier5 3DES_0251_openssl.bin: GT=3DES PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [google/gemma-4-31b-it:free] tier5 3DES_0776_openssl.bin: GT=3DES PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [google/gemma-4-31b-it:free] tier5 3DES_0102_openssl.bin: GT=3DES PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [google/gemma-4-31b-it:free] tier5 3DES_0333_openssl.bin: GT=3DES PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [google/gemma-4-31b-it:free] tier5 3DES_0116_openssl.bin: GT=3DES PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [google/gemma-4-31b-it:free] tier5 3DES_0418_openssl.bin: GT=3DES PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [google/gemma-4-31b-it:free] tier5 3DES_0388_openssl.bin: GT=3DES PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [google/gemma-4-31b-it:free] tier5 3DES_0822_openssl.bin: GT=3DES PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [google/gemma-4-31b-it:free] tier5 3DES_0370_openssl.bin: GT=3DES PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [google/gemma-4-31b-it:free] tier5 3DES_0678_openssl.bin: GT=3DES PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [google/gemma-4-31b-it:free] tier5 3DES_0742_pycryptodome.bin: GT=3DES PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [google/gemma-4-31b-it:free] tier5 3DES_0548_pycryptodome.bin: GT=3DES PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
  ❌ [google/gemma-4-31b-it:free] tier5 3DES_0709_pycryptodome.bin: GT=3DES PRED=UNKNOWN (0.0s) ERR:<urlopen error [Errno -3] Temporary failure in name resoluti
